HEADERID,LINEITEMNUMBER,ITEMNAME,ITEMCODE,TRADINGGROUP,DESTINATIONORG,DONATEDQUANTITY,PROP1,PROP2,PROP3,PROP4,PROP5,PROP6,PROP7,PROP8,PROP9,PROP10,PROP11,PROP12,PROP13,PROP14,PROP16,PROP17,PROP18,PROP19,PROP20,NOTIFY,PROP15,STATUS,ACCEPTEDQUANTITY,ACCEPTEDDATE,RECEIPTEDQUANTITY,RECEIPTEDDATE,DESTINATIONORGNAME,COMMENTS,USERID,USERFIRSTNAME,USERLASTNAME,USEREMAIL,RPROP1,RPROP2,RPROP3,RPROP4,RPROP5,RPROP6,RPROP7,RPROP8,RPROP9,RPROP10,RPROP11,RPROP12,RPROP13,RPROP14,RPROP15,NUTRITIONALCODE,FOODSOURCE,FEATURETYPE
003001-22844,10,Fruit Rollups 96-5oz,12456,,,0.0,CS,80,0.72,CASE,,DRY,0,,,,,,,,,,,,,,,1,20.0,20040806.0,,,,,,,,,14.4,,,,,,,,,,,,,,,,,
003001-22844,11,Assorted Frozen Bulk,50002,,,0.0,LB,3,0.18,BULKBOX,,,0,,,,,,,,,,,,,,,1,3.0,20040806.0,,,,,,,,,0.54,,,,,,,,,,,,,,,,,
003001-22844,12,General Reclamation D Bulk Box,40004,,,0.0,LB,37,0.18,BULKBOX,,,0,,,,,,,,,,,,,,,1,37.0,20040806.0,,,,,,,,,6.66,,,,,,,,,,,,,,,,,
ID_127,2,400 Watt Holophane Light Fixtures,11400,,,3.0,CS,150,0,CASE,,DRY,0,,,,,,,,,,,,,,,1,3.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
ID_127,3,Foam Trays 100ct,82051,,,4.0,CS,36,1.62,OTHER,,DRY,0,,,,,,,,,,,,,,,1,4.0,20040610.0,,,,,,,,,6.48,,,,,,,,,,,,,,,,,
003001-22844,13,Assorted Free D,50001,,,0.0,LB,40,0,BULKBOX,,,0,,,,,,,,,,,,,,,1,40.0,20040806.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
0010260765,2,Detergent,DY13003,,,0.0,CASE,30,4.2,,4/100oz,DRY,0,,,,,,,,,,,,,,,1,1.0,20040806.0,,,,,,,,,4.2,,,,,,,,,,,,,,,,,
0010260818,7,Raisin Almond Cereal,W05006,,,0.0,CASE,70,12.25,,12/12oz,DRY,12.25,,,,,,,,,,,,,,,1,7.0,20040806.0,,,,,,,,,85.75,,,,,,,,,,,,,,,,,
0010260818,8,Mandarine Orange,W10005,,,0.0,CASE,100,9.07,,24/11oz,DRY,9.07,,,,,,,,,,,,,,,1,5.0,20040806.0,,,,,,,,,45.35,,,,,,,,,,,,,,,,,
ID_308,11,FROZEN BISCUITS,4750000468,,,1.0,CS,16,2.24,,100 CT,FROZEN/REFRIGERATED,0,,,,,,,,,,,,,2.0,,6,0.0,20060215.0,,,,,,,,,,,,,,,,,,,,,,,,,,
